image_path,category,pexels_photo_id,photographer,photographer_url,source_page,alt
hotel_images/hotel/hotel_01.jpg,hotel,10613691,Harun  UZ,https://www.pexels.com/@harunuzphotography,https://www.pexels.com/photo/view-of-modern-hotels-lit-by-sunset-light-10613691/,Capture of İstanbul's skyline with gleaming modern buildings at sunset.
hotel_images/hotel/hotel_02.jpg,hotel,34168189,CK Seng,https://www.pexels.com/@keat007,https://www.pexels.com/photo/fullerton-bay-hotel-facade-at-night-34168189/,Night view of Fullerton Bay Hotel facade with modern architectural design in Singapore.
hotel_images/hotel/hotel_03.jpg,hotel,33330666,Ghassan Hani,https://www.pexels.com/@ghassan-hani-709938,https://www.pexels.com/photo/modern-architecture-of-novotel-in-barcelona-33330666/,Blue-toned modern architecture of Novotel in Barcelona under a clear sky.
hotel_images/hotel/hotel_04.jpg,hotel,18426838,Erik Mclean,https://www.pexels.com/@introspectivedsgn,https://www.pexels.com/photo/white-modern-hotel-building-behind-trees-18426838/,Elevated view of Embassy Suites hotel facade against a cloudy sky with trees in the foreground.
hotel_images/hotel/hotel_05.jpg,hotel,36921164,Mingyang LIU,https://www.pexels.com/@mingyang-liu-301813241,https://www.pexels.com/photo/clarion-hotel-helsinki-airport-at-sunset-36921164/,Stunning view of Clarion Hotel Helsinki Airport with evening sky colors.
hotel_images/hotel/hotel_06.jpg,hotel,17563212,Masood Aslami,https://www.pexels.com/@masoodaslami,https://www.pexels.com/photo/geometric-facade-of-modern-hotel-17563212/,Contemporary facade of Mövenpick Hotel with geometric design in a city environment.
hotel_images/hotel/hotel_07.jpg,hotel,19227989,AXP Photography,https://www.pexels.com/@axp-photography-500641970,https://www.pexels.com/photo/hotel-uzbekistan-building-in-tashkent-19227989/,Low angle shot of Hotel Uzbekistan facade against a clear blue sky.
hotel_images/hotel/hotel_08.jpg,hotel,10047588,Jan van der Wolf,https://www.pexels.com/@jan-van-der-wolf-11680885,https://www.pexels.com/photo/windows-of-a-hotel-10047588/,Contemporary hotel facade featuring minimalist design and geometric window patterns.
hotel_images/hotel/hotel_09.jpg,hotel,32011831,Jan van der Wolf,https://www.pexels.com/@jan-van-der-wolf-11680885,https://www.pexels.com/photo/colorful-modern-facade-with-bright-windows-32011831/,Brightly colored windows on a modern building facade against a clear blue sky.
hotel_images/hotel/hotel_10.jpg,hotel,9705532,Mats Sindre Fjellheim,https://www.pexels.com/@mats-sindre-fjellheim-24301094,https://www.pexels.com/photo/glass-building-under-the-blue-sky-9705532/,"Modern hotel architecture against a blue sky in Tromsø, Norway."
hotel_images/apartment/apartment_01.jpg,apartment,164595,Pixabay,https://www.pexels.com/@pixabay,https://www.pexels.com/photo/black-and-grey-bedspread-on-bed-and-pillow-164595/,Cozy and modern hotel bedroom interior with elegant decor and soft lighting.
hotel_images/apartment/apartment_02.jpg,apartment,38938956,João Emanuel,https://www.pexels.com/@jemanuel,https://www.pexels.com/photo/modern-living-room-with-netflix-on-tv-38938956/,"Stylish modern living room featuring a Netflix display on the TV, wooden flooring, and contemporary furniture."
hotel_images/apartment/apartment_03.jpg,apartment,271672,Pixabay,https://www.pexels.com/@pixabay,https://www.pexels.com/photo/two-white-ceramic-mug-on-brown-wooden-tray-271672/,Contemporary hotel room featuring a neatly arranged beverage setup on wooden furniture.
hotel_images/apartment/apartment_04.jpg,apartment,18470965,Alan Antony,https://www.pexels.com/@alan-antony-279974862,https://www.pexels.com/photo/a-table-in-a-dining-room-18470965/,"Stylish and modern dining room with elegant furniture and decor, perfect for contemporary homes."
hotel_images/apartment/apartment_05.jpg,apartment,7128483,cottonbro studio,https://www.pexels.com/@cottonbro,https://www.pexels.com/photo/fashion-people-woman-friends-7128483/,"Two women sorting clothes in a modern and colorful living room, showcasing vibrancy and style."
hotel_images/apartment/apartment_06.jpg,apartment,30554297,AJ  Ahamad,https://www.pexels.com/@aj-ahamad-767001191,https://www.pexels.com/photo/modern-dubai-living-room-with-cozy-interiors-30554297/,Elegant modern living room in Dubai featuring a cozy sofa and stylish decor.
hotel_images/apartment/apartment_07.jpg,apartment,9494898,I'm Zion,https://www.pexels.com/@zion,https://www.pexels.com/photo/sofa-in-a-spacious-living-room-9494898/,Elegant and airy living room with modern furniture and natural light.
hotel_images/apartment/apartment_08.jpg,apartment,6585598,Max Vakhtbovych,https://www.pexels.com/@artbovich,https://www.pexels.com/photo/cozy-sofa-and-table-with-chairs-in-contemporary-living-room-6585598/,Interior of modern living room with comfortable big sofa and dining zone decorated with creative lamps and mirror in daylight
hotel_images/apartment/apartment_09.jpg,apartment,19239905,Moussa Idrissi,https://www.pexels.com/@mographe,https://www.pexels.com/photo/bright-living-room-interior-with-a-tv-set-19239905/,"Bright living room featuring modern decor with sofa, TV, and abstract art."
hotel_images/apartment/apartment_10.jpg,apartment,2030037,Zak Chapman,https://www.pexels.com/@naimbic,https://www.pexels.com/photo/living-room-furniture-set-2030037/,Bright and airy contemporary living room with furniture and large windows overlooking a city view.
hotel_images/villa/villa_01.jpg,villa,2476632,Quang Nguyen Vinh,https://www.pexels.com/@quang-nguyen-vinh-222549,https://www.pexels.com/photo/photo-of-villas-near-beach-2476632/,Explore this stunning tropical villa with a private pool and beach access.
hotel_images/villa/villa_02.jpg,villa,20975734,Ahmet ÇÖTÜR,https://www.pexels.com/@ahmetcotur,https://www.pexels.com/photo/large-ottoman-with-canopy-by-the-resort-pool-20975734/,Enjoy a serene retreat with a luxury cabana by the pool at a Mediterranean villa.
hotel_images/villa/villa_03.jpg,villa,36418268,Mark Direen,https://www.pexels.com/@mark-direen-622749,https://www.pexels.com/photo/tropical-villa-pool-in-lush-bali-garden-36418268/,"Luxurious villa pool surrounded by lush tropical greenery in Bali, Indonesia."
hotel_images/villa/villa_04.jpg,villa,33709939,yose antonius,https://www.pexels.com/@yose-antonius-2155395283,https://www.pexels.com/photo/modern-bali-villa-with-private-pool-and-tropical-design-33709939/,"Luxurious Bali villa with private pool, tropical plants, and modern minimalist decor."
hotel_images/villa/villa_05.jpg,villa,13914283,Thibault Om,https://www.pexels.com/@thibault-om-326726278,https://www.pexels.com/photo/villa-with-swimming-pool-13914283/,"Relaxing wooden deck and poolside under a vibrant sunset, perfect for outdoor retreats."
hotel_images/villa/villa_06.jpg,villa,1838589,Elina Sazonova,https://www.pexels.com/@elina-sazonova,https://www.pexels.com/photo/monkey-walking-on-the-edge-of-the-pool-1838589/,A serene scene of a monkey walking near a pool surrounded by lush tropical greenery and modern architecture.
hotel_images/villa/villa_07.jpg,villa,13914276,Thibault Om,https://www.pexels.com/@thibault-om-326726278,https://www.pexels.com/photo/a-sun-loungers-and-couch-near-the-swimming-pool-13914276/,"Beautiful modern villa featuring a pool, wooden deck, and lush greenery."
hotel_images/villa/villa_08.jpg,villa,8332961,Mikhail Nilov,https://www.pexels.com/@mikhail-nilov,https://www.pexels.com/photo/aerial-view-of-a-woman-relaxing-in-the-pool-behind-her-house-8332961/,Top view of a woman on a pink float in a luxurious tropical swimming pool.
hotel_images/villa/villa_09.jpg,villa,4525096,ArtHouse Studio,https://www.pexels.com/@arthousestudio,https://www.pexels.com/photo/unrecognizable-woman-swimming-in-pool-in-modern-resort-4525096/,Drone view of anonymous female tourist relaxing in pool water near terrace with white parasols among green lawns in comfortable hotel zone during vacation
hotel_images/villa/villa_10.jpg,villa,4870581,ROMAN ODINTSOV,https://www.pexels.com/@roman-odintsov,https://www.pexels.com/photo/outdoor-swimming-pool-in-tropical-garden-4870581/,A tranquil tropical villa with a swimming pool surrounded by lush palm trees.
hotel_images/homestay/homestay_01.jpg,homestay,27219984,Lucas Tran,https://www.pexels.com/@lucastranimages,https://www.pexels.com/photo/lo-lo-ch-i-ha-giang-27219984/,"Rustic Vietnamese homestay with traditional architecture in Ha Giang, Vietnam."
hotel_images/homestay/homestay_02.jpg,homestay,11244561,Q. Hưng Phạm,https://www.pexels.com/@qhung999,https://www.pexels.com/photo/woman-with-dog-sitting-on-steps-in-front-of-temple-11244561/,A woman sitting on stone steps with her dog at a rustic wooden homestay entrance.
hotel_images/homestay/homestay_03.jpg,homestay,27630279,Duc Nguyen,https://www.pexels.com/@duc-nguyen-400576574,https://www.pexels.com/photo/a-woman-sitting-in-a-round-window-in-a-small-house-27630279/,A woman seated in a rustic homestay capturing the essence of traditional architecture.
hotel_images/homestay/homestay_04.jpg,homestay,31944373,Fahad Puthawala,https://www.pexels.com/@fahadputhawala,https://www.pexels.com/photo/cozy-bedroom-with-striped-bedspread-and-bay-windows-31944373/,"Bright bedroom interior with a striped bedspread, bay windows, and colorful decor, perfect for a cozy ambiance."
hotel_images/homestay/homestay_05.jpg,homestay,38780815,50k. jpe,https://www.pexels.com/@50k-jpe-1401054515,https://www.pexels.com/photo/charming-traditional-house-in-lung-cu-vietnam-38780815/,"Explore the rustic charm of a traditional home in Lũng Cú, Vietnam with its wooden fixtures and vibrant details."
hotel_images/homestay/homestay_06.png,homestay,36598794,Biren Negi,https://www.pexels.com/@biren-negi-581272,https://www.pexels.com/photo/modern-guest-room-interior-in-uttarakhand-36598794/,"Spacious guest room interior with modern decor in Saraikhet, Uttarakhand."
hotel_images/homestay/homestay_07.jpg,homestay,27582015,HONG SON,https://www.pexels.com/@hson,https://www.pexels.com/photo/a-house-with-a-green-roof-and-white-trim-27582015/,Vibrant green guest house surrounded by lush greenery and a serene road setting.
hotel_images/homestay/homestay_08.jpg,homestay,38780820,50k. jpe,https://www.pexels.com/@50k-jpe-1401054515,https://www.pexels.com/photo/charming-ethnic-homestay-in-lung-cu-vietnam-38780820/,"Traditional house in Lũng Cú, Vietnam showcasing cultural attire and decor."
hotel_images/homestay/homestay_09.jpg,homestay,38780819,50k. jpe,https://www.pexels.com/@50k-jpe-1401054515,https://www.pexels.com/photo/traditional-homestay-in-lung-cu-vietnam-38780819/,"Explore a traditional homestay in Lũng Cú, showcasing ethnic culture and rustic architecture."
hotel_images/homestay/homestay_10.jpg,homestay,25052899,HONG SON,https://www.pexels.com/@hson,https://www.pexels.com/photo/facade-of-church-building-25052899/,"Contemporary house entrance with trees, showing modern design and traditional elements."
hotel_images/house/house_01.jpg,house,6342356,ROMAN ODINTSOV,https://www.pexels.com/@roman-odintsov,https://www.pexels.com/photo/exterior-of-a-modern-style-house-in-a-desert-6342356/,"Contemporary house nestled in a sunlit rocky outdoor setting, perfect for architecture lovers."
hotel_images/house/house_02.jpg,house,29145900,Chris F,https://www.pexels.com/@chris-f-38966,https://www.pexels.com/photo/coastal-homes-with-wooden-siding-in-sunny-setting-29145900/,"Sunny day view of colorful coastal homes with wooden siding and balconies, perfect for summer living."
hotel_images/house/house_03.jpg,house,7031411,Max Vakhtbovych,https://www.pexels.com/@artbovich,https://www.pexels.com/photo/new-cottage-house-facade-and-snowy-yard-7031411/,Spacious suburban cottage house with modern architecture design with stone and wooden panels and large private yard in winter countryside
hotel_images/house/house_04.jpg,house,323775,Expect Best,https://www.pexels.com/@expect-best-79873,https://www.pexels.com/photo/low-angle-view-of-balcony-against-sky-323775/,"Sleek modern house with glass facade in Poole, UK under blue sky."
hotel_images/house/house_05.jpg,house,29160828,Karen F,https://www.pexels.com/@karen-f-1376469,https://www.pexels.com/photo/colorful-beachfront-houses-with-clear-blue-sky-29160828/,"Vibrant beachfront houses on a sunny day, showcasing modern architecture against a clear blue sky."
hotel_images/house/house_06.jpg,house,13081560,Kris Møklebust,https://www.pexels.com/@moklebust,https://www.pexels.com/photo/tent-near-a-house-13081560/,A modern two-story house with a pitched roof and a camping tent in the grassy garden.
hotel_images/house/house_07.jpg,house,35072704,Amar  Preciado,https://www.pexels.com/@amar,https://www.pexels.com/photo/modern-glass-treehouse-in-lush-forest-setting-35072704/,"A modern treehouse with glass walls surrounded by dense forest, featuring a wooden deck and serene atmosphere."
hotel_images/house/house_08.jpg,house,7746906,Max Vakhtbovych,https://www.pexels.com/@artbovich,https://www.pexels.com/photo/brown-brick-house-under-blue-sky-7746906/,Beautiful modern wooden house with mountain views and vibrant paved walkway.
hotel_images/house/house_09.png,house,36353276,The Ghazi,https://www.pexels.com/@the-ghazi-2152398165,https://www.pexels.com/photo/luxury-suv-on-tropical-driveway-36353276/,Luxury black SUV parked near a tropical villa with palm trees under a bright sunny sky.
hotel_images/house/house_10.jpg,house,19909598,hugoteconecta,https://www.pexels.com/@hugoteconecta-641939723,https://www.pexels.com/photo/man-stands-on-terrace-of-modern-rural-house-in-winter-19909598/,"Aerial view of a modern glass cabin surrounded by a snowy forest in Quebec, Canada."
hero/hotel_hero.jpg,hero,6789839,Lelani Badenhorst,https://www.pexels.com/@lelani-badenhorst-26647525,https://www.pexels.com/photo/scenic-view-of-a-resort-6789839/,"Peaceful tropical beach scene with palm trees, azure sea, and distant mountains."
